Accession	Samples	Title	Description
GSE123331	64	Mouse Embryo E11, E13, E15, E18 conditional knockout of EED, with wt controls	Floxed EED homozygote mice are knocked-out by Sox1-driven Cre to remove H3K27me3 during neurogenesis
GSE176117	25	RNA-seq profiling of bone marrow-derived alveolar macrophages, foetal-derived alveolar macrophages and foetal-derived Langerhans cells from the lungs of wildtype and Suz12 knockout mice	Macrophages are at the forefront of immune responses and their transcriptional programs are modified by their tissue environment and in response to immunological challenge. Post-translational modifications of histones, such as histone H3 lysine 27 tri-methylation (H3K27me3) by the polycomb repressive complex 2 (PRC2), are tightly associated with epigenetic regulation of gene expression. To explore whether H3K27me3 is involved in either the establishment or function of the mononuclear phagocyte system, we selectively deleted the SUZ12 gene in mice, a core component of PRC2.
GSE176116	5	RNA-seq profiling of foetal-derived Langerhans cells from wildtype and Suz12 knockout mice	Macrophages are at the forefront of immune responses and their transcriptional programs are modified by their tissue environment and in response to immunological challenge. Post-translational modifications of histones, such as histone H3 lysine 27 tri-methylation (H3K27me3) by the polycomb repressive complex 2 (PRC2), are tightly associated with epigenetic regulation of gene expression. To explore whether H3K27me3 is involved in either the establishment or function of the mononuclear phagocyte system, we selectively deleted the SUZ12 gene in one-week old mice, a core component of PRC2.
GSE176115	9	RNA-seq profiling of foetal-derived alveolar macrophages from wildtype and Suz12 knockout mice	Macrophages are at the forefront of immune responses, and their transcriptional programs are modified by their tissue environment and in response to immunological challenge. Post-translational modifications of histones, such as histone H3 lysine 27 tri-methylation (H3K27me3) by the polycomb repressive complex 2 (PRC2), are tightly associated with epigenetic regulation of gene expression. To explore whether H3K27me3 is involved in either the establishment or function of the mononuclear phagocyte system, we selectively deleted the SUZ12 gene in one-week old mice, a core component of PRC2.
GSE176111	7	RNA-seq profiling of bone marrow-derived alveolar macrophages from wildtype and Suz12 knockout mice	Macrophages are at the forefront of immune responses and their transcriptional programs are modified by their tissue environment and in response to immunological challenge. Post-translational modifications of histones, such as histone H3 lysine 27 tri-methylation (H3K27me3) by the polycomb repressive complex 2 (PRC2), are tightly associated with epigenetic regulation of gene expression. To explore whether H3K27me3 is involved in either the establishment or function of the mononuclear phagocyte system, we selectively deleted the SUZ12 gene in mice, a core component of PRC2.
GSE188871	36	RNA-seq and ATAC-seq profiling of thymic epithelial cells from wildtype and Kat7 knockout mice	The autoimmune regulator, AIRE, induces the transcription of thousands of peripheral tissue genes (PTGs) in thymic epithelial cells (TECs) to mediate immunological tolerance. The chromatin state required for optimal AIRE function in TECs and how this state is induced remains unclear. Using RNA-seq and ATAC-seq, we tested the role of the histone acetyltransferase, KAT7 (also known as HBO1 or MYST2), which is essential for acetylation of histone 3 lysine 14 (H3K14), in TEC differentiation, AIRE-mediated PTG expression and thymic tolerance.
GSE188870	18	RNA-seq profiling of cortical and medullary thymic epithelial cells from wildtype and Kat7 knockout mice	Thymic epithelial cells (TECs) govern thymic T lymphocyte differentiation and selection. They can be divided into cortical and medullary TECs based on their anatomical location, function and molecular features. Cortical TECs (cTECs) provide the microenvironment for the commitment of haematopoietic precursors to the T lymphoid lineage and mediate the positive selection of CD4+CD8+ double-positive thymocytes.
GSE188869	12	RNA-seq profiling of epithelial cells from fetal thymic organ cultures from Kat7 knockout and wildtype mice	Thymic epithelial cells (TECs) govern thymic T lymphocyte differentiation and selection. Medullary TECs are distinctive for their "promiscuous" gene expression, transcribing thousands of peripheral tissue genes (PTG) that are otherwise only expressed highly in one or two other organs. Much of this PTG expression by mTECs is controlled by the autoimmune regulator, AIRE. This experiment was part of a larger study in which we examined the impact of Kat7 loss on AIRE-mediated PTG expression.
GSE165274	12	Characterization of novel whole body Poldip2 knockout mice generated by [Precisely "flox"ing Poldip2 gene] and crossing with Cre deleter mice	Poldip2 is a multifunctional protein whose roles are only partially understood. The previous Poldip2 knockout mouse generated by the gene trap model suffers from two limitations: perinatal lethality in homozygotes and constitutive Poldip2 inactivation. To overcome these limitations, we developed a new conditional floxed Poldip2 mouse. Here, we correctly targeted floxed Poldip2 mice to produce a new constitutive knockout line by crossing with a Cre deleter.
GSE174013	4	Single-cell RNAseq analysis of kidneys from Wild Type and RNLS knockout control mice and mice with chronic kidney disease	We compared transcriptome profiles of WT kidneys with that of RNLS KO kidneys. We also compared transcriptome profiles of healthy kidneys to CKD kidneys. Our study represents the first detailed transcriptome analysis of kidneys from mice with cisplatin-induced chronic kidney disease and provides the dissection of renalase functions.
GSE174010	2	Single-cell RNAseq analysis of kidneys from RNLS knockout mice with chronic kidney disease treated with RNLS peptide encapsulated in mesonanoparticles	We compared transcriptome profiles of kidneys from RNLS KO mice treated with RNLS peptide RP81 in mesonanoparticle (RP81-MNP) or with empty MNP (control). Our study provided some molecular mechanism of how RNLS peptide protected kidney from  cisplatin-induced CKD.
GSE145492	12	Lens epithelial cell transcriptome reprogramming at 24 hours post cataract surgery (PCS) in wild type (WT) and β8 integrin Conditional Knockout (β8ITGcKO) mice.	This trancriptome analysis reveals the first detailed analysis on how the remnant lens epithelial cells (LECs) greatly reprogram their transcriptome by 24 hours post cataract surgery (PCS) and the dependence of this phenomenom on endogenous β8 integrin gene expression.
GSE179163	31	The effects of MuRF1 knockout, sex, and a high fat diet consumption on gastrocnemius muscle transcriptomics.	MuRF1 is an E3 ubiquitin ligase known to play a role in skeletal muscle atrophy.  Our objectives in this study were to gain further insight into the roles MuRF1 plays in skeletal muscle and to determine if this is influenced by sex and/or consumption of a high fat diet.  To address these objectives we used RNA sequencing to analyze the transcriptome of gastrocnemius muscle from 30 week old, MuRF1 knockout (-/-) and wild type, male and female mice fed a chow or high fat diet (HFD).
GSE154519	12	Temporal Analyses of Cardiac Chromatin Accessibility, DNA Methylation and Epigenomic Structure Reveal Locus-Specific Regulation [RNA-seq]	Heart failure can be induced or ameliorated by regulation of chromatin modifying enzymes. Because so many chromatin factors regulate gene expression, we used ATAC-seq to report the status of a given locus at any time—the sum total of all epigenetic modifiers—in a mouse model of pressure overload hypertrophy. Early compensation of pressure overload at 3 days was associated with widespread changes in chromatin accessibility and DNA methylation, the majority of which persisted to the decompensated phase (3 weeks), revealing the temporal nature of epigenomic compensation to pathologic stimuli.
GSE167126	2	Single-cell transcriptional analysis of lens placode development in Mab21l1 knockout mice	In mouse early organogenic stages, a Mab21l1-null mutation causes severe defects in invagination of the lens placode toward optic cup due to its severe defects in both cell proliferation and survival, which subsequently results in severe microphthalmia after birth. In human, loss of function variants in MAB21L1 have recently been described in Cerebello-Oculo-Facio-Genital syndrome (COFG syndrome). The close similarity between mouse and human phenotypes including microphthalmia indicates the importance of Mab21l1 function in human lens placode.
GSE174375	2	Quantitative analysis of wild-type and Pgrmc1 knockout mouse liver transcriptomes	The goal of this study is to compare the next generation sequencing-derived liver transcriptome of Pgrmc1 KO mice to wild-type controls to identify differentially expressed genes.
GSE173974	25	Aortic gene expression profiles of double ApoE and ApoA-I knockout mice	Eight weeks old double apolipoprotein E and apolipoprotein A-I knockout mice (DKO) were fed either normal laboratory diet (chow) or high-fat (Western) diet for 6 or 22 weeks. High-throughput sequencing technologies were used to analyse the transcriptome of the aorta of apolipoprotein E knockout (EKO, GSE163657) and DKO mice to showcase the use of the software reString (https://github.com/Stemanz/restring), a functional enrichment results aggregator.
GSE188798	12	Mapping translation in wild-type and METTL5 knockout (KO) mice	We performed ribosome profiling on wild-type and METTL5 KO mice to investigate translation changes due to loss of METTL5.
GSE146541	6	Gene expression analysis of murine renal tubular epithelial cells upon SETD2 knockout [RNAseq_RTE]	SETD2, a H3K36 trimethyltransferase, is frequently mutated in human cancers with the highest prevalence (13%) in clear cell renal cell carcinoma (ccRCC). Genomic profiling of primary ccRCC tumors reveals a positive correlation between SETD2 mutations and metastasis. However, whether and how SETD2-loss promotes metastasis remains unclear. Here, we detected SETD2 mutations in 24 of 51 (47%) metastatic ccRCC tumors.
GSE172282	72	Dicer promotes genome stability via the bromodomain transcriptional co-activator BRD4	RNA interference is required for post-transcriptional silencing, but also has additional roles in transcriptional silencing of centromeres and genome stability. However, these roles have been difficult to detect in mammals. Strikingly, we found that Dicer-deficient embryonic stem cells have strong proliferation and chromosome segregation defects as well as increased transcription of centromeric satellite repeats, which triggers the interferon response.
GSE175389	11	Deletion of Abi3 gene locus exacerbates neuropathological features of Alzheimer’s disease in a mouse model of Aβ amyloidosis	Recently, large-scale human genetics studies identified a rare coding variant in the ABI3 gene that is associated with an increased risk of late-onset Alzheimer’s disease (AD). However, pathways by which ABI3 contributes to the pathogenesis of AD are unknown. To address this critical question, we determined whether loss of ABI3 function affects pathological features of AD in the 5XFAD mouse model. We demonstrate that the deletion of Abi3 locus significantly increases amyloid-b (Ab) accumulation and decreases microglia clustering around the plaques.
GSE179454	12	Tenomodulin prevents trauma-induced heterotopic ossification in tendon	We have reported that loss of Tnmd leads to inferior early tendon repair characterized by fibrovascular scaring and therefore hypothesized that its lack will persistently cause deficient repair during later stages. Tnmd knockout (Tnmd-/-) and wild-type (WT) animals were subjected to complete Achilles tendon surgical transection followed by end-to-end suture. Lineage tracing revealed a reduction in tendon-lineage cells marked by ScleraxisGFP, but an increase in alpha smooth muscle actin myofibroblasts in Tnmd-/- tendon scars.
GSE174234	4	Single-nucleus sequencing of liver cells from hepatocyte-specific Nampt knockout mice and WT littermates reveals major changes to the hepatocyte transcriptome in mice with necrosis	Single-nucleus RNAseq was performed to investigate whether transcriptomics changes observed in bulk RNAseq could be attributed to specific hepatic cell populations.
GSE144443	40	Hepatocyte-specific knockout of Nicotinamide phosphoribosyltransferase increases susceptibility for liver fibrosis in mice	Nicotinamide adenine dinucleotide (NAD+) supplementation has been suggested as a therapy against non-alcoholic fatty liver disease (NAFLD) and non-alcoholic steatohepatitis (NASH). We investigated whether hepatocyte-specific knockout of nicotinamide phosphoribosyltransferase (Nampt) caused increased susceptibility towards liver damage in mice fed a low-methionine, choline-free 60% high-fat (MCD) diet.
GSE142835	4	m6A MeRIP-Seq of liver in Mettl3flox/flox and hepatocyte-specific Mettl3 knockout (HKO) mice	Purpose: Through mRNA m6A-profiling, we aim to characterize the mRNA m6A changes in the liver obtained from Mettl3flox/flox and HKO mice. Methods: Total RNA was extracted using Tripure Isolation Reagent (Roche, Mannheim, Germany) from liver of Mettl3 flox/flox and HKO mice at 8 weeks old. Each sample (300 μg total RNA) was pooled from 3 mice for each group. Poly(A)+ RNA was purified using Dynabeads™ mRNA Purification Kit (Invitrogen) following the manufacturer’s instructions.
GSE141216	2	RNA-seq analysis of mRNA profiles in the livers of Mettl3 flox/flox and hepatocyte-specific Mettl3 knockout (HKO) mice	Purpose: The goal of this study is to compare transcriptome profilings of liver from Mettl3 flox/flox and hepatocyte-specific Mettl3 knockout (HKO) mice. Methods: Total RNA was extracted using Tripure Isolation Reagent (Roche, Mannheim, Germany) from livers of Mettl3 flox/flox and HKO mice at 8 weeks old. mRNA profiles were generated by deep sequencing using an Illumina HiSeq X Ten platform. Paired-end clean reads were aligned to the mouse reference genome(Ensemble_GRCm38.90) with Hisat2 (version 2.0.4), and the aligned reads were used to quantify mRNA expression by using HTSeq (version 0.9.1).
GSE186316	17	RNA-sequencing of CCN2 knockout and wild type mice following 4 hours after IRI	In order to identify major regulatory events in the immediate phase of renal IRI associated with CCN2, we performed full transcriptome RNA-sequencing on a cDNA library constructed from RNA extracted from samples of kidney cortex.
GSE185371	24	RNA-seq analysis of HIV-1 gp120 stimulated, p38α knockout and wild-type microglia isolated from mouse brain.	Purpose: The goals of this study is to compare transcriptome profiles of microglia from different mouse genotypes using RNA-seq analysis. HIV-associated neurocognitive disorders (HAND) occur in about 50% of infected individuals. Transgenic mice expressing the soluble HIV-1 envelope glycoprotein gp120 in astroglia (HIVgp120tg) display key neuropathological features of NeuroHIV patients (Toggas et al., 1994; Maung et al., 2014; Ojeda-Juarez et al., 2020).
GSE171931	12	Transcriptome analysis of memantine-treated Shank2 wild-type and knock-out mice	Shank2 is an excitatory postsynaptic scaffolding protein strongly implicated in autism spectrum disorders (ASD). Shank2-mutant mice with a homozygous deletion of exons 6 and 7 show decreased NMDA receptor (NMDAR) functions and autistic-like behaviors in juvenile (~postnatal day or P21) and adult (> P56) stages that are rescued by NMDAR activation. These mice, however, show an opposite change increased NMDAR functions—at ~P14, and NMDAR suppression by early and chronic memantine treatment during P7–21 prevents NMDAR hypofunction and autistic-like behaviors at juvenile (~P21) and adult (~P56) stages.
GSE180013	8	Bulk RNA-seq of Colonic Epithelia from EED and EED/Satb2 Double Knockout Mice	To understand the polycomb repressive complex 2 (PRC2) function, we genetically deleted EED, which inactivated PRC2, in adult intestine and colon using (VillinCreER-T2;EEDf/f).
GSE167283	9	Bulk RNA-seq of Mouse Colonic Organoids: SATB2 and FOXD2KO CRISPR Knockout	CRISPR knock out the Satb2 or Foxd2 gene from mouse colonic organoids to validate core human and mouse large intestine stem cell enrich TFs.
GSE175489	6	Gene Expression and Histopathological Changes in the Placenta of the Serotonin Transporter (Slc6a4) Knockout Mouse Suggest a Role for Serotonin in Controlling Nutrient Acquisition	We report the application of single-molecule-based sequencing technology for high-throughput profiling in 5-HT transporter SLC6A4 gene knockout 12.5 dpc mouse placenta. This study was to test the hypothesis that ablation of the Slc6a4 gene would result in morphological changes correlated with defined gene expression changes in the placenta. We found that Slc6a4 KO placentas had a much increased pTGC to spongiotrophoblast area ratio relative to WT placentas.
GSE184760	8	RNA-Sequencing analysis of adipose tissue from obese WT mice and AP2-Cre MCT1 knockout mice	Adipose tissue is an active producer of lactate. In obesity, the increased size of adipocytes is accompanied by an increase in lactate production in adipose tissue, caused by hypoxia in obese adipocytes. How lactate affects metabolism in adipocyte and insulin sensitivity remains unclear. Here we develop a mouse model of MCT1,coding by Slc16a1, specific deletion in adipose tissues, using the AP2 promoter to drive Cre expression.
GSE169245	24	Influence of Dnmt3a knockout on gene expression of preleukemia B cell and CLL cells	Although somatic mutations in the DNA methyltransferase 3A (DNMT3A) in chronic lymphocytic leukemia (CLL) are rare, DNMT3A transcript and protein expression is frequently reduced in CLL patients, and previous studies have associated low DNMT3A expression with more aggressive disease and poorer survival.
GSE185109	8	HRD1-mediated METTL14 degradation regulates m6A mRNA modification to suppress ER proteotoxic liver disease	Accumulation of unfolded or misfolded proteins in the endoplasmic reticulum (ER) lumen triggers unfolded protein response (UPR) for stress adaptation, the failure of which induces cell apoptosis and tissue/organ damage. The molecular switches underlying how the UPR selects for stress adaptation over apoptosis remain unknown. Here we discovered that accumulation of unfolded/misfolded proteins selectively induces N6-adenosine-methyltransferase-14 (METTL14) expression.
GSE182640	6	The RNA-seq of knee joint cartilaginous tissues of  conditionally knockout Hbb or wildtype postnatal day 6 mice	To investigate the gene expression difference between knee joint cartilaginous tissues of conditionally knockout Hbb or wildtype postnatal day 6 mice.
GSE153190	8	RNA-sequencing of mouse mammary tumor organoids that were modified to generate knockout lines for SOX4	The transcription factor SOX4 is widely expressed during development and is essential to maintain progenitor pools in a variety of organs. In breast cancer SOX4 has been shown to be associated with poor survival and increased tumor size and metastasis formation. This has mostly been attributed to the ability of SOX4 to regulate Epithelial-to-Mesenchymal-Transition (EMT). However, SOX4 regulates target gene transcription in a plastic manner that is dependent on the cellular and epigenetic context.
GSE175372	10	Effect of Cited2 knockout on gene expression in haematopoietic stem cells	The pleiotropic transcriptional regulator CITED2 is essential for lifelong maintenance of haematopoiesis.  To understand the molecular roles of CITED2 in normal haematopoiesis, we performed RNA-sequencing on CD48−CD150+ haematopoietic stem cells (HSCs) derived from young mice.
GSE149817	6	Transcriptomic analysis of glomeruli following podocyte-loss of Klf4	The goal of this study was to identify transcriptomic changes of mouse glomeruli in mice with podocyte-specific deletion of Kruppel-like factor 4, a zinc-finger transcription factor.
GSE162246	6	G-protein-coupled receptor P2Y10 facilitates chemokine-induced CD4 T cell migration through an autocrine feedback loop involving ATP and lysophosphatidylserine	G-Protein-coupled receptors (GPCRs), especially chemokine receptors, play a central role in the regulation of T cell migration. Various GPCRs are upregulated in activated CD4 T cells, among them P2Y10, a putative lysophospholipid receptor that is officially still considered an orphan GPCR. P2Y10-deficient CD4 T cells showed normal activation, differentiation, and proliferation, but reduced chemokine-induced migration and polarization.
GSE176113	14	Liver Homeostasis, Hepatocyte Ploidy, and Circadian Rhythm-controlled Gene Expression are Perturbed in Liver-Specific METTL3 Knockout Mice	METTL3 is essential for ESC differentiation and embryonic development, and its dysregulation is linked to various diseases including metabolic disorders and cancer. However, the consequence of m6A perturbation in the mammalian liver is not understood. Here, we provide insight into this by generating mice M3LKO (Mettl3fl/fl; Alb-Cre) mice carrying a hepatocyte-specific deletion of Mettl3.
GSE157777	12	RNA-Sequencing analysis of liver tissue from healthy WT mice and Foxa3-Cre YAP1 knockout mice at 3-4 months of age	We developed a mouse model of bile duct paucity by deleting Yes-associated protein 1 (YAP1) in foregut endoderm progenitors, using the Foxa3 promoter to drive Cre expression. YAP1 KO mice are viable postnatally and survive long-term despite a complete failure of  intrahepatic bile duct development, resembling the liver phenotype of Alagille syndrome. We also observed no functional biliary regeneration over time.
GSE119570	9	Cortical transcriptome analysis of Cyfip2 mutant mice	CYFIP2 is a component of the WAVE regulatory complex which regulates actin polymerization and branching in diverse cellular compartments. Recent molecular genetic studies identified mutations of CYFIP2 in patients with early-onset epileptic encephalopathy and microcephaly, suggesting that CYFIP2 may have some roles in embryonic brain development. To understand its functions in vivo at the molecular level, we performed RNA-seq analysis in embryonic Cyfip2 mutant mice.
GSE157714	9	TDP-43 represses a cryptic exon in Schwann cells to ensure rapid saltatory conduction	A pathological hallmark of amyotrophic lateral sclerosis and frontotemporal dementia is the aggregation of TDP-43. While extensive exploration into the function of TDP-43 has focused entirely in the central nervous system (CNS), the implications in physiology and pathology of the peripheral nervous system (PNS) have long been overlooked. Herein, we demonstrate that deletion of TDP-43 in Schwann cells results in a 50% reduction in peripheral nerve conduction velocity, without any obvious alterations to peripheral compact myelin.
GSE118826	6	RNA seq data of B cells from naïve, OPN knockout (Spp1-/-), ONKOSCID (SCID Spp1-/-) BALB/c mice	Marginal zone (IgM[hi] CD23[lo]MZ) and Follicular B (IgM[lo] CD23[hi]FB) cells in SCID Spp1-/- mice have different profile from naïve and Spp1-/- B cells. In addition, OPN mutation on the SCID background induced upregulation of genes involved in DNA replication and class switching of B cells
GSE181885	8	Spatial Transcriptomics Analysis of Uterine Gene Expression in Enhancer of Zeste Homolog 2 (Ezh2) Conditional Knockout Mice	Histone proteins undergo various modifications that alter chromatin structure, including addition of methyl groups. Enhancer of homolog 2 (EZH2), is a histone methyltransferase that methylates lysine residue 27, and thereby, suppresses gene expression. EZH2 plays integral role in the uterus and other reproductive organs. We have previously shown that conditional deletion of uterine EZH2 results in increased proliferation of luminal and glandular epithelial cells, and RNAseq analyses reveal several uterine transcriptomic changes in Ezh2 conditional (c) knockout (KO) mice that can affect estrogen signaling pathways.
GSE148890	6	RiboTag-IP-RNA sequencing of parvalbumin neurons in frontal cortex of Fxr1 knockout mice	We report the genome-wide gene expression in parvalbumin neurons in frontal cortex of of Fxr1 knockout mice
GSE130320	9	Analysis of MGE transcriptomes with or without Ctnnb1 knockout in mouse through RNA sequencing	Purpose: Understand the cues that orchestrate the expansion or differentiation of medial ganglionic eminence (MGE) progenitors no matter in vivo or in vitro. Methods: Total RNA from each sample was used to prepare the library. Then the libraries were sequenced at 50bp single read on an Illumina HiSeq 2500 platform. Sequencing reads from each sample were mapped to the mouse reference genomes mm10 by using TopHat v2.1.1.
GSE182091	16	CRISPR-Cas9 generated SARM1 knockout and epitope tagged mice reveal no role in transcription, despite confirmation of protein expression in macrophages	The aim of this study was initially to determine the mechanism by which SARM1 regulates Ccl5 expression in murine macrophages. RNA sequencing revealed that the commonly used Sarm1tm1Aidi mouse, generated by targeted gene disruption, harbours passenger genes on chromosome 11 which confound interpretation of differential gene expression. Next-generation SARM1-deficient and epitope-tagged mice generated by CRISPR/Cas9 reveal no broad role for SARM1 in transcription in macrophages or brainstem, despite SARM1 protein expression there.
GSE181803	21	RNA-sequencing analysis of mouse liver with a global ERK1, hepatocyte-specific ERK2 or double ERK1/2 knockout	The analysis examined the effects of a global ERK1 and/or tamoxifen-inducible, hepatocyte-specific ERK2 knockout on the liver transcriptome. Transcriptomes from the livers with a ERK1/2 double knockout were compared to the livers of mice with an ERK1 or ERK2 knockout.
GSE181899	8	Prenatal overexpression of platelet-derived growth factor receptor A results in central nervous system hypomyelination	Diffuse intrinsic pontine glioma (DIPG) is an incurable brain tumor that arises in the pons of children.  Recent studies strongly suggest that roughly 30% of DIPG tumors contain copy number increases in platelet derived growth factor receptor A (PDGFRA). We established a novel mouse model by knocking in the human PDGFRA conditional to Cre exposure by crossing in germline Olig2-Cre (specific to oligodendrocytes).
GSE171712	6	RNA sequencing of flow sorted Scgb1a1 lineage traced Control and Yap/Taz knockout lung epithelial cells	Proper lung function relies on precisely balanced numbers of specialized epithelial cell types that work together and are maintained in homeostasis. In this study we have described essential roles for the transcriptional regulators YAP and TAZ, which are key effectors of Hippo pathway signaling, in maintaining lung epithelial homeostasis. Phenotypes associated with Yap/Taz deletion include alveolar defects and a striking development of goblet cell metaplasia throughout the airways.
GSE154002	10	Comparative analysis of brain transcriptomes altered during JEV infection in wild type and IRF8 knockout C57Bl/6 mice	Japanese encephalitis virus (JEV) is a causative agent of encephalitis, mostly prevalent in Asia and South-Asian countries. Neuroinflammation is the hallmark of encephalitis, mediated in parts through the activation of brain-resident microglial cell, thus playing a critical role in determining pathogenesis. Deregulated activity of microglia can be lethal for the brain tissue. Interferon Regulatory Factor 8 (Irf8) mediates differentiation and transformation of microglia to reactive phenotypes and also regulates antiviral response through cross-talk with interferon pathway.
GSE168200	3	Cellular crosstalk regulates the aqueous humor outflow pathway and provides new targets for glaucoma therapies	Angiopoietin-1 signaling is essential for development of Schlemm's canal, a large lymphatic-like endothelial vessel in the iridocorneal angle. Single cell RNA sequencing is a powerful tool allowing for examination of the specific transcriptome of each cell type within a tissue. Here, we used single cell RNA sequencing to examin the structures of the mouse iridocorneal angle, using loss of Schlemm's canal in neural-crest specific Angpt1 knockout mice to aid in identification of Schlemm's canal endothelial cells.
GSE174314	18	Transcriptome changes in forebrain neuron-specific farneyltransferase knockout in APP/PS1 mice	Our study aimed to investigate the biological impact of forebrain neuron-specific farnesyltransferase knockout in a transgenic APP/PS1 Alzheimer's disease model.
GSE165820	22	Transcriptional and genomic occupancy profiling from MLX WT and MLX knockout mouse tissues.	We generated mice null for MAX-like Protein X (MLX), encoded by Mlx. All male mice are sterile. We profiled testes tissue from WT versus KO mice by RNA-Seq. We performed ChIP-Seq on WT and KO testes for MLX and MAX, as well as ChIP-Seq for MLX and MAX from primary B220+ splenic B cells, and ChIP-Seq for MLX, MAX and MNT from 3T3 cell lines derived from WT and KO embryos.
GSE166356	6	RNA sequencing of control and Dnmt1Δ/Δep knockout keratinocytes at P3	To investigate whether the effects of DNMT1 ablation in keratinocytes are cell-autonomous in the context of the innate immune response, RNA sequencing was performed using keratinocytes isolated from P3 Dnmt1Δ/Δep and control mice.
GSE148577	12	An epithelial Nfkb2 pathway exacerbates intestinal inflammation by supplementing latent RelA complexes to the canonical NF-kB module	The canonical NF-kB module induces nuclear translocation of RelA heterodimers from the latent cytoplasmic complexes. RelA directs inflammatory immune responses against microbial entities. However, aberrant RelA activity also triggers destructive inflammation, including those associated with inflammatory bowel disease (IBD). What provokes this pathological RelA activity remains unclear. As such, the noncanonical NF-kB pathway activates RelB heterodimers and mediates immune organogenesis.
GSE176453	9	CRISPR/Cas9 inducible UCP1 knockout in brown adipose tissue of adult mice	Mice expressing Cas9 were administered AAV8-UCP1 sgRNA to the brown adipose tissue for inducible knockout. Mice were housed at 22ºC for two weeks and then were sacrificed. Brown adipose tissue (BAT) was harvested and RNAseq was performed to determine transcriptional changes stemming from inducible UCP1 knockout.
GSE178560	9	RNA profiling of IRF7 knockout acute myeloid leukemia (AML) cells	Acute myeloid leukemia (AML) is an aggressive hematopoietic malignant. In our study, we found that knockout of IRF7 in AML cells accelerates the  AML progression and shorten the mice survival, which is medicated by LSC level. The goals of this study aim to reveal the mechanism mediated by IRF7 knockout, we performed the RNAseq profiling of WT c-kit-, WT c-kit+ and IRF7-/- c-kit+ AML cells
GSE178555	18	Transcriptome of Wdr5 and (or) p53 double knockout ESCs and embryoid bodies	This study describes the transcriptome profiling of day 6 SFEBq embryonic bodies (EBs): 1) WT; 2) Wdr5 KO ; 3) Wdr5 KO with T12h hWDR5 rescue; 4) Wdr5 KO with T48h hWDR5 rescue
GSE159754	7	Changes of transcriptome in endothelial cells from kidney with tubule-specific conditional Vhlh gene knockout (Hoxb7-Cre-GFP; VhlhloxP/loxP), compared with wild-type.	Clear-cell renal cell carcinoma (ccRCC) is the most prevalent histological subtype of RCC in which more than 80% of ccRCC cases are associated with early inactivation of von Hippel-Lindau (VHL) tumor suppressor gene. We have generated a knockout mouse strain in which mouse allele of VHL (Vhlh) is conditionally deleted in the kidney epithelium (cortical tubules, collecting ducts and ascending Loops of Henle).
GSE165701	24	mTORC1 Activation is not sufficient to suppress hepatic PPAR-a signalling or ketogenesis	we examined if the activation of the anabolic program mediated by the activation of the mTorc1 complex in the fasted state could suppress the robust catabolic programing and enhanced Pparα transcriptional of mice with a liver specific defect in mitochondrial long chain fatty acid oxidation (Cpt2L-/- mice). We found that the activation of mTorc1 in the fasted state was not sufficient to repress Pparα responsive genes or ketogenesis.
GSE147016	20	RNA-seq analysis of subcutaneus inguinal adipose tissue from Tmem120a fat specific knockout mice (females)	Tmem120a was shown to be important for adipocytes differentiation. Here we analyze gene expression in suncutaneous adipose tissue form Tmem120a fat-specific knockout mouse on high fat vs low fat diet.
GSE175620	11	Transcriptomic analysis of adipocyte Tsc1 knockout mammary glands.	We report here the adipocyte-specific ablation of Tsc1 and its affects on lactation and mammary gland function.  In this dataset, mammary glands from wild-type and adipocyte Tsc1 knockout mice were isolated during lactation and analysed by RNAseq.  Deletion of Tsc1 is predicted to activate mTORC1 in both peripheral and mammary adipocytes.  This study demonstrates that deletion of Tsc1 in adipocytes changes mammary gland histology, and function resulting in changes to breastmilk composition.
GSE107814	2	RNA Sequencing Facilitates Quantitative Analysis of differentially expressed genes after Twist1 knockout in mouse bone marrow stromal cells	Purpose: The goals of this study are to determine possible  downstream targets of Twist1  in bone marrow stromal cells  with or without Twist1 knockout. Methods: gene expression profiling with or without Twist1 knockout in bone marrow stromal cells  were generated by deep sequencing, using Illumina Hiseq.The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks.
GSE174751	6	H3K4 trimethylation is required for postnatal pancreatic endocrine cell functional maturation	During pancreas development, endocrine progenitors differentiate into the islet-cell subtypes, which undergo further functional maturation in postnatal islet development. In islet b-cells, genes involved in glucose-stimulated insulin secretion are activated and glucose exposure increases the insulin response as b-cells mature. Here, we investigated the role of H3K4 trimethylation in endocrine cell differentiation and functional maturation by disrupting TrxG complex histone methyltransferase activity in mouse endocrine progenitors.
GSE174731	2	Single-cell RNA-seq of total cells from testes of adult WT and miR-202-/- mice	We report to investigate the changes in cellular composition and gene expression upon miR-202 KO. One testis from each of three adult WT mice and three adult KO mice was collected, and the KO and WT testes were pooled respectively for subsequent analysis. A total of 15,310 WT and 12,935 KO cells passed standard quality control and were used for subsequent analysis.
GSE174418	12	Transcriptomic analysis of wild-type (WT) and METTL5 knockout (KO) mice	We report the application of next-generation sequencing to analyze the transcriptomes of brains and livers of WT and METTL5 KO mice to understand the role(s) of METTL5 in these organs.
